ID	Date	Op Name	Map	Zeus	N Players	N Signed Up	Faction	Op type

1	2024-01-07	Scorched Earth Pt.2	Kujari	BlackCat	11	13	German Special Forces	Airborne
2	2024-01-10	Raging Saints	Šumava	Johan	0	11	Bundeswehr	Infantry
3	2024-01-14	Reunion	Tanoa	Chloris	16	15	BEAR	Infantry
4	2024-01-21	Phoenix	Prei Khmaoch Luong	Lortmil	0	15	US Delta Early	Airborne
5	2024-01-24	Sandblaster	Takistan	ADK	12	12	US SF Raiders	Combined Arms
6	2024-01-28	Squash Em Bugs pt. 2	Tembelan Island	Gronk	16	15	US Army	Combined Arms
7	2024-01-31	Desert Hare	North Takistan	Darkling	9	11	USEC	Infantry
8	2024-02-04	Rockem Stocken	Rosche	ADK	17	17	Bundeswehr	Combined Arms
9	2024-02-07	Honorable Discharge	Zargabad	Johanpe	13	12	US Army	Infantry
10	2024-02-11	Pegasus	Rosche	Zarro	15	16	Bundeswehr	Infantry
11	2024-02-14	Crystal Clear	Hellanmaa Winter	Chloris	9	9	Norwegian Army	Infantry
12	2024-02-18	Red Wings	Lythium	Lortmil	14	17	US Airborne	Airborne
13	2024-02-21	I dont have time to think of a name	Rosche	Zarro	10	11	USEC	Infantry
14	2024-02-25	Nairobi	Sa'Hatra	ADK	12	15	SAS	Infantry
15	2024-02-28	Desert Skirmish	Takistan	Johan	0	0	US Army	?
